"name","note","x","y"
銚子ドーバーライン,千葉県銚子市三崎町2丁目2599-1,35.713685,140.789819
市原中高根,千葉県市原市中高根1447-1,35.434913,140.091153
市原犬成,千葉県市原市犬成1124,35.48704,140.187115
木更津新田２丁目,千葉県木更津市新田2丁目9-22,35.377579,139.918924
富里七栄中央,千葉県富里市七栄646-888,35.735287,140.334347
富里中沢,千葉県富里市中沢391-1,35.725962,140.315919
銚子愛宕,千葉県銚子市愛宕町3480,35.725286,140.851472
袖ケ浦平成通りたちばな,千葉県袖ケ浦市飯富3568-17,35.433155,139.989551
富津岬,千葉県富津市富津467-2,35.31004,139.826887
木更津３丁目,千葉県木更津市木更津3丁目3-9,35.381593,139.936858
木更津中里,千葉県木更津市中里601-1,35.393704,139.923274
銚子三崎町１丁目,千葉県銚子市三崎町1丁目75,35.721307,140.805943
木更津金田東,千葉県木更津市金田東5丁目5-5,35.430538,139.933124
木更津桜井,千葉県木更津市潮見5丁目1-10,35.367155,139.916047
木更津文京１丁目,千葉県木更津市文京1丁目4-12,35.377526,139.927562
大網白里季美の森,千葉県大網白里市季美の森南3丁目3-18,35.548732,140.300139
木更津金田,千葉県木更津市金田東6丁目36-2,35.431785,139.926969
富津下飯野,千葉県富津市下飯野1128-9,35.322345,139.856542
富津大堀４丁目,千葉県富津市大堀4丁目4-1,35.333571,139.849523
富津青木,千葉県富津市青木3丁目1-3,35.328202,139.846574
木更津駅東口,千葉県木更津市大和2丁目2-1,35.38064,139.929723
芝山香山新田,千葉県山武郡芝山町菱田1087-2,35.749437,140.407058
多古広沼,千葉県香取郡多古町多古1915-2,35.731117,140.458401
大網白里市大網,千葉県大網白里市大網1483-6,35.533207,140.33478
東金武射田,千葉県東金市上武射田2229,35.580897,140.419665
東金求名,千葉県東金市求名97-2,35.578375,140.397624
東金千葉学芸高校前,千葉県東金市田間2044-3,35.573373,140.37249
大網白里みずほ台,千葉県大網白里市駒込1689,35.515343,140.310418
大網白里バイパス,千葉県大網白里市仏島120,35.520233,140.325365
東金台方十字路,千葉県東金市台方933-1,35.550314,140.350641
東金福俵,千葉県東金市福俵815,35.544281,140.343173
東金インター,千葉県東金市丹尾15-1,35.573674,140.320302
大網白里増穂,千葉県大網白里市北横川75-2,35.512276,140.343461
東金台方,千葉県東金市田中2-1,35.559737,140.340944
安房和田町南三原,千葉県南房総市和田町下三原400,35.027612,139.995305
東金幸田,千葉県東金市幸田1200-1,35.54539,140.379735
市原若葉小学校前,千葉県市原市五井5711-1,35.523983,140.091152
五井,千葉県市原市飯沼137-1,35.505146,140.072379
市原惣社,千葉県市原市惣社2丁目1-11,35.497929,140.113065
姉崎袖ヶ浦インター,千葉県市原市天羽田914-1,35.425727,140.044241
君津小糸,千葉県君津市泉,35.302701,139.951171
八街山田台,千葉県八街市山田台319-1,35.574245,140.289722
八街大谷津,千葉県八街市八街ろ146-3,35.676251,140.288998
袖ヶ浦福王台,千葉県袖ケ浦市福王台3丁目30-12,35.431616,139.967423
袖ヶ浦今井,千葉県袖ケ浦市今井1丁目56-2,35.439418,139.974647
八街住野,千葉県八街市八街は14-4,35.693634,140.308869
八街富山十字路,千葉県八街市富山1314-1343,35.674118,140.301198
袖ヶ浦蔵波台６丁目,千葉県袖ケ浦市蔵波台6丁目10-1,35.439187,139.999242
八街吉倉,千葉県八街市吉倉637-1,35.624577,140.290153
八街笹引,千葉県八街市八街へ199-1858,35.632374,140.321991
茂原東郷,千葉県茂原市東郷2303-1,35.433868,140.313478
茂原高師,千葉県茂原市高師268-2,35.434585,140.299605
木更津国立工専前,千葉県木更津市清見台南4丁目1-3,35.38217,139.954415
木更津北インター,千葉県木更津市笹子597,35.38797,139.99056
木更津清見台２丁目,千葉県木更津市清見台2丁目1-2,35.386086,139.94076
富浦１２７号バイパス,千葉県南房総市富浦町深名540-1,35.037083,139.850547
安房富山高崎,千葉県南房総市高崎1202-1,35.08807,139.846776
船橋北本町２丁目,千葉県船橋市北本町2丁目66-21,35.713436,139.983917
船橋馬込沢,千葉県船橋市馬込町716-13,35.739706,139.991143
船橋二和東６丁目,千葉県船橋市二和東6丁目2-5,35.756821,140.019551
我孫子３丁目,千葉県我孫子市我孫子3丁目3-8,35.874356,140.002456
我孫子根戸,千葉県我孫子市根戸1187-3,35.87781,139.998564
流山西初石３丁目,千葉県流山市西初石3丁目13-4,35.884421,139.915911
松戸大橋,千葉県松戸市大橋237-1,35.764113,139.918882
流山駒木西,千葉県流山市駒木,35.880742,139.938692
流山南,千葉県流山市木（大字）232,35.830921,139.896328
流山おおたかの森駅東口,千葉県流山市東初石3丁目139-6,35.882849,139.924143
千葉北総病院前,千葉県印西市舞姫1丁目5-3,35.783331,140.202595
印西大塚,千葉県印西市大塚3丁目1,35.81012,140.118587
印西竹袋,千葉県印西市木下南2丁目19-3,35.834672,140.154995
我孫子南新木,千葉県我孫子市南新木2丁目22-6,35.860526,140.10487
印西白幡,千葉県印西市浦幡新田48-4,35.813069,140.102864
長柄国府里,千葉県長生郡長柄町国府里536-1,35.456163,140.24802
東船橋５丁目,千葉県船橋市東船橋5丁目23-8,35.691022,140.00523
白井ベリーフィールド,千葉県白井市根1919-5,35.791093,140.025575
白井笹塚,千葉県白井市笹塚3丁目24-1,35.78852,140.055224
白井大山口,千葉県白井市根1946-1,35.78603,140.028053
茂原富士見,千葉県茂原市高師2168-1,35.438998,140.294503
野栄野手浜,千葉県匝瑳市野手17146-1319,35.654704,140.590387
船橋海神一丁目,千葉県船橋市海神1丁目8-7,35.700035,139.980509
船橋南海神１丁目,千葉県船橋市南海神1丁目2-25,35.697641,139.969996
流山青田,千葉県流山市青田121-10,35.899291,139.927062
流山三輪野山４丁目,千葉県流山市三輪野山4丁目12-19,35.866652,139.910958
館山自衛隊前,千葉県館山市沼986-2,34.98454,139.841904
館山北条海岸通り,千葉県館山市北条2300-5,34.998833,139.859344
館山城山公園,千葉県館山市館山1057-5,34.985012,139.859655
匝瑳上谷中,千葉県匝瑳市上谷中2283-7,35.711103,140.574018
船橋習志野４丁目,千葉県船橋市習志野4丁目9-4-1,35.704338,140.058983
船橋松が丘４丁目,千葉県船橋市松が丘4丁目58-1,35.729605,140.046266
船橋薬円台２丁目,千葉県船橋市薬円台2丁目5-50,35.708091,140.047447
松戸六実１丁目,千葉県松戸市六実1丁目25-20,35.79294,139.991165
鎌ケ谷初富,千葉県鎌ケ谷市初富21-3,35.786316,139.978214
新鎌ケ谷３丁目,千葉県鎌ケ谷市新鎌ケ谷3丁目17-10,35.780843,140.00637
袖ヶ浦さつき台,千葉県袖ケ浦市長浦駅前8丁目1,35.44547,140.007488
袖ヶ浦久保田,千葉県袖ケ浦市代宿929,35.455475,140.01718
袖ヶ浦代宿,千葉県袖ケ浦市代宿83-28,35.457525,140.024218
我孫子高野山,千葉県我孫子市高野山296-1,35.866458,140.033961
我孫子天王台２丁目,千葉県我孫子市天王台2丁目20-14,35.870472,140.046437
我孫子柴崎台２丁目,千葉県我孫子市柴崎台2丁目1-16,35.874521,140.038499
袖ヶ浦東横田,千葉県袖ケ浦市横田408,35.385298,140.031406
袖ヶ浦上泉,千葉県袖ケ浦市上泉1009-1,35.409615,140.044357
山武市役所前,千葉県山武市殿台201-2,35.604471,140.415341
成東バイパス,千葉県山武市成東539-2,35.599864,140.405237
飯山満駅前,千葉県船橋市芝山3丁目12-5,35.714498,140.022199
北松戸駅南,千葉県松戸市上本郷438-2,35.79893,139.910817
松戸西馬橋広手町,千葉県松戸市西馬橋広手町32,35.81352,139.909758
北松戸駅西口,千葉県松戸市上本郷923-4,35.80168,139.911978
木更津請西南,千葉県木更津市請西南2丁目21-1,35.358537,139.941775
館山那古海岸,千葉県館山市那古1497-1,35.019057,139.857258
旭東足洗,千葉県旭市東足洗2746-15,35.701111,140.684371
旭足川,千葉県旭市足川4773-1,35.700197,140.657777
旭鎌数,千葉県旭市ニ5889-14,35.723568,140.625404
旭川口,千葉県旭市川口3438-10,35.716861,140.586891
船橋栄町,千葉県船橋市栄町1丁目6-30,35.693433,139.977179
船橋日の出２丁目,千葉県船橋市日の出2丁目14-5,35.685754,139.979143
船橋前原西,千葉県船橋市前原西2丁目34-20,35.6939,140.021242
船橋潮見町,千葉県船橋市潮見町19-2,35.675994,139.969728
松戸南花島４丁目,千葉県松戸市南花島4丁目68-26,35.791753,139.908579
松戸六高台８丁目,千葉県松戸市六高台8丁目128-1,35.8001,139.984168
松戸常盤平駅前,千葉県松戸市常盤平1丁目20-1,35.804168,139.949847
五香駅東口,千葉県松戸市金ケ作408-75,35.797292,139.966212
鎌ヶ谷道野辺中央４丁目,千葉県鎌ケ谷市道野辺中央4丁目6-3,35.762139,139.995633
鎌ケ谷駅西口,千葉県鎌ケ谷市道野辺中央2丁目1-36,35.764039,139.996992
松戸大金平２丁目,千葉県松戸市大金平2丁目93,35.837671,139.922209
北流山,千葉県流山市加1丁目1583,35.859925,139.902746
鎌ケ谷東鎌ヶ谷,千葉県鎌ケ谷市東鎌ケ谷2丁目21-25,35.762351,140.015331
鎌ケ谷右京塚,千葉県鎌ケ谷市右京塚,35.76472,140.003891
新松戸５丁目,千葉県松戸市新松戸5丁目124,35.827963,139.909282
東邦鎌ケ谷病院前,千葉県鎌ケ谷市佐津間680-1,35.792426,140.002076
鎌ケ谷中沢,千葉県鎌ケ谷市中沢776,35.759248,139.989853
松戸松飛台駅北,千葉県松戸市紙敷1丁目5-12,35.776568,139.957928
松戸東部小学校前,千葉県松戸市紙敷1586-2,35.76659,139.929489
鎌ケ谷南初富３丁目,千葉県鎌ケ谷市南初富3丁目10-41,35.77173,140.008043
鎌ケ谷くぬぎ山４丁目,千葉県鎌ケ谷市くぬぎ山4丁目4-4,35.78018,139.97404
船橋藤原３丁目,千葉県船橋市藤原3丁目23-36,35.739978,139.97755
松戸栄７丁目,千葉県松戸市栄町7丁目552,35.810676,139.907425
流山野々下,千葉県流山市野々下5丁目1062-4,35.861729,139.945778
流山宮園１丁目,千葉県流山市思井632-1,35.8454,139.911754
白井根,千葉県白井市根438,35.782329,140.044828
船橋アンデルセン公園前,千葉県船橋市神保町13-5,35.764795,140.061383
我孫子柴崎台３丁目,千葉県我孫子市柴崎台3丁目9-1,35.87741,140.042398
我孫子天王台６丁目,千葉県我孫子市天王台6丁目17-1,35.867114,140.041332
富里御料,千葉県富里市御料748-4,35.724808,140.365647
八街佐倉道,千葉県八街市八街ほ665-7,35.66336,140.302192
市原青葉台入口,千葉県市原市姉崎2572-1,35.47721,140.056506
市原更級通り,千葉県市原市惣社610,35.496204,140.107132
市原松ヶ島,千葉県市原市松ケ島1丁目4-17,35.510184,140.067565
新茂原,千葉県茂原市小林2888-2,35.447602,140.296358
木更津江川,千葉県木更津市江川,35.40155,139.916856
木更津東太田2丁目,千葉県木更津市東太田2丁目16-11,35.375393,139.953996
７ＦＳ酒々井アウトレット,千葉県印旛郡酒々井町飯積2丁目4-1,35.714309,140.294091
松戸駐屯地前,千葉県松戸市松飛台45-5,35.790329,139.973628
印西瀬戸,千葉県印西市瀬戸1430-4,35.776525,140.221213
我孫子湖北台5丁目,千葉県我孫子市湖北台5丁目3-1,35.859824,140.072793
我孫子緑1丁目,千葉県我孫子市緑1丁目5-3,35.870148,140.014221
船橋高根台,千葉県船橋市高根台6丁目41-1,35.728638,140.036839
安房勝山,千葉県安房郡鋸南町下佐久間803-1,35.109659,139.835523
松戸丸山,千葉県松戸市松戸新田22,35.777261,139.91379
